timestamp_hour;user_language;device;Out;In
9;en;iphone;finneedsaselfie;sharknado3
9;en;iphone;sharknado3;finneedsaselfie
9;en;iphone;finneedsaselfie;july22
9;en;iphone;july22;finneedsaselfie
9;en;iphone;todayshow;tarareid
9;en;iphone;tarareid;todayshow
9;en;iphone;todayshow;ianziering
9;en;iphone;ianziering;todayshow
9;en;iphone;todayshow;mlauer
9;en;iphone;mlauer;todayshow
9;en;iphone;todayshow;sharknado3
9;en;iphone;sharknado3;todayshow
9;en;iphone;todayshow;july22
9;en;iphone;july22;todayshow
9;en;iphone;tarareid;ianziering
9;en;iphone;ianziering;tarareid
9;en;iphone;tarareid;mlauer
9;en;iphone;mlauer;tarareid
9;en;iphone;tarareid;sharknado3
9;en;iphone;sharknado3;tarareid
9;en;iphone;tarareid;july22
9;en;iphone;july22;tarareid
9;en;iphone;ianziering;mlauer
9;en;iphone;mlauer;ianziering
9;en;iphone;ianziering;sharknado3
9;en;iphone;sharknado3;ianziering
9;en;iphone;ianziering;july22
9;en;iphone;july22;ianziering
9;en;iphone;mlauer;sharknado3
9;en;iphone;sharknado3;mlauer
9;en;iphone;mlauer;july22
9;en;iphone;july22;mlauer
9;en;iphone;sharknado3;july22
9;en;iphone;july22;sharknado3
9;en;instagram;morhership;https://t.co/7bfwfja6mv
9;en;instagram;https://t.co/7bfwfja6mv;morhership
9;en;instagram;conversation;today
9;en;instagram;today;conversation
9;en;instagram;conversation;tattoolife
9;en;instagram;tattoolife;conversation
9;en;instagram;conversation;feminism
9;en;instagram;feminism;conversation
9;en;instagram;conversation;https://t.co/oxj5gxerof
9;en;instagram;https://t.co/oxj5gxerof;conversation
9;en;instagram;today;tattoolife
9;en;instagram;tattoolife;today
9;en;instagram;today;feminism
9;en;instagram;feminism;today
9;en;instagram;today;https://t.co/oxj5gxerof
9;en;instagram;https://t.co/oxj5gxerof;today
9;en;instagram;tattoolife;feminism
9;en;instagram;feminism;tattoolife
9;en;instagram;tattoolife;https://t.co/oxj5gxerof
9;en;instagram;https://t.co/oxj5gxerof;tattoolife
9;en;instagram;feminism;https://t.co/oxj5gxerof
9;en;instagram;https://t.co/oxj5gxerof;feminism
9;en;iphone;heatherparry;ms
9;en;iphone;ms;heatherparry
9;en;iphone;heatherparry;realmonaghan
9;en;iphone;realmonaghan;heatherparry
9;en;iphone;heatherparry;zac
9;en;iphone;zac;heatherparry
9;en;iphone;ms;realmonaghan
9;en;iphone;realmonaghan;ms
9;en;iphone;ms;zac
9;en;iphone;zac;ms
9;en;iphone;realmonaghan;zac
9;en;iphone;zac;realmonaghan
9;en;iphone;beyonce;frankocean
9;en;iphone;frankocean;beyonce
9;en;http://foursquare.com;thinkcoffeenyc;https://t.co/szgwsvrmwf
9;en;http://foursquare.com;https://t.co/szgwsvrmwf;thinkcoffeenyc
9;en;web;mrjesscagle;jakegyllenhaal
9;en;web;jakegyllenhaal;mrjesscagle
9;en;web;mrjesscagle;50cent
9;en;web;50cent;mrjesscagle
9;en;web;mrjesscagle;southpawmovie
9;en;web;southpawmovie;mrjesscagle
9;en;web;mrjesscagle;ew
9;en;web;ew;mrjesscagle
9;en;web;jakegyllenhaal;50cent
9;en;web;50cent;jakegyllenhaal
9;en;web;jakegyllenhaal;southpawmovie
9;en;web;southpawmovie;jakegyllenhaal
9;en;web;jakegyllenhaal;ew
9;en;web;ew;jakegyllenhaal
9;en;web;50cent;southpawmovie
9;en;web;southpawmovie;50cent
9;en;web;50cent;ew
9;en;web;ew;50cent
9;en;web;southpawmovie;ew
9;en;web;ew;southpawmovie
9;en;web;mets;mikevacc
9;en;web;mikevacc;mets
9;en;ipad;post2015developmentagenda;ffd
9;en;ipad;ffd;post2015developmentagenda
9;en;iphone;survival;https://t.co/kkskcyarhb
9;en;iphone;https://t.co/kkskcyarhb;survival
9;en;web;jakezembiec;pennstate
9;en;web;pennstate;jakezembiec
9;en;web;enewsreference;ninma
9;en;web;ninma;enewsreference
9;en;web;enewsreference;killermikegto
9;en;web;killermikegto;enewsreference
9;en;web;ninma;killermikegto
9;en;web;killermikegto;ninma
9;en;web;danackerman;birchcoffee
9;en;web;birchcoffee;danackerman
9;en;web;sammcooney;moorehn
9;en;web;moorehn;sammcooney
9;en;web;rogerwcheng;danackerman
9;en;web;danackerman;rogerwcheng
9;en;web;rogerwcheng;birchcoffee
9;en;web;birchcoffee;rogerwcheng
9;en;web;danackerman;birchcoffee
9;en;web;birchcoffee;danackerman
10;en;iphone;dookiefinger;pussnbootsmusic
10;en;iphone;pussnbootsmusic;dookiefinger
10;en;iphone;dookiefinger;norahjones
10;en;iphone;norahjones;dookiefinger
10;en;iphone;dookiefinger;sashadobson1
10;en;iphone;sashadobson1;dookiefinger
