"2037","134285301","Place des Archives","18 rue Dugas Montbel","2006-07-21 00:00:00","2086140","793590","45.7479","4.82491"
"2038","134285302","Hugo / Ainay","16 rue des remparts d Ain","2006-06-10 00:00:00","2086720","793931","45.7531","4.82956"
"2039","134285303","Charité / Récamier","Rue de la Charit","2006-07-22 00:00:00","2086290","793977","45.7492","4.82986"
"2040","134285304","Quai Saint Antoine","Face au n°10 quai Saint Antoi","2007-09-09 00:00:00","2087890","794085","45.7636","4.8319"
"2041","134285305","Sala / Charité","Face au n°52 rue Sala","2007-09-20 00:00:00","2086870","794246","45.7545","4.83301"
"2042","134285306","Joffre / Vaubecour",,"2007-09-20 00:00:00","2086660","793573","45.7518","4.82468"
"3001","134286265","Part-Dieu / Vivier Merle","Derrière la station de tram","2005-05-23 00:00:00","2087570","796182","45.7603","4.85859"
"3002","134286266","Part-Dieu / Gare SNCF",,"2006-03-16 00:00:00","2087550","796208","45.7602","4.85873"
"3003","134286267","Part-Dieu / Deruelle","Face rue Massé","2005-05-24 00:00:00","2087880","795897","45.763","4.85498"
"3004","134286268","Bourse du Travail","Angle rue Moncey / Part-Dieu","2005-05-27 00:00:00","2087490","795370","45.7597","4.84806"
"3005","134286269","Saxe-Gambetta","Place Victor Basch","2005-09-15 00:00:00","2086820","795378","45.7538","4.84804"
"3007","134286271","Place d Arsonval","A côté du stand de fleurs","2005-05-23 00:00:00","2085740","797811","45.7434","4.8789"
"3008","134286272","Institut Lumière","Place Ambroise Courtois","2006-09-26 00:00:00","2086000","797196","45.7458","4.87068"
"3009","134286273","Musée Africain","133 cours Gambetta","2006-01-10 00:00:00","2086490","796140","45.7503","4.85792"
"3010","134286274","Part-Dieu / Cuirassiers","Angle rue Bouchut","2005-08-23 00:00:00","2087470","795971","45.7595","4.85592"
"3012","134286276","Place du Château","A côté de l église","2005-07-30 00:00:00","2086480","798452","45.7495","4.88727"
"3013","134286277","Place Antoinette","Place Antoinette","2005-07-21 00:00:00","2086920","798571","45.7536","4.88902"
"3015","134286279","Servient / Garibaldi","Angle rue Garibaldi","2005-05-26 00:00:00","2087620","795717","45.7608","4.85251"
"3016","134286280","Liberté / Part-Dieu","Angle rue de la Part-Dieu","2005-06-13 00:00:00","2087440","794915","45.7593","4.84222"
"3018","134286282","Créqui / Voltaire","Angle rue Paul Bert","2005-08-26 00:00:00","2087190","795401","45.7567","4.8484"
"3021","134286285","Place de la Ferrandière","Intersection Ferrandière/Jasseron","2005-07-18 00:00:00","2087530","797056","45.7597","4.86976"
"3024","134286288","Rockefeller / Esquirol","Intersection Rockefeller / Esquirol","2005-08-05 00:00:00","2085520","798321","45.7414","4.88537"
"3029","134286293","Place Aristide Briand","Angle Gambetta","2005-05-30 00:00:00","2086750","795552","45.753","4.85024"
"3031","134286295","Corneille / Servient","Angle rue Servient","2005-05-27 00:00:00","2087490","795082","45.7599","4.84451"
"3032","134286296","Lafayette / Créqui","Angle cours Lafayette","2005-05-27 00:00:00","2087910","795277","45.7635","4.84712"
"3037","134286301","Paul Bert / Garibaldi","Rue Paul Bert","2005-05-23 00:00:00","2087220","795793","45.7571","4.85347"
"3038","134286302","Vivier Merle / Paul Bert","Devant le bâtiment de la CAFAL","2005-06-23 00:00:00","2087260","796208","45.7572","4.85893"
