timestamp_hour;tweets_count;Out;In
N;N;S;S
11;3;#newyork;#careerarc
11;3;#careerarc;#newyork
11;3;#hiring;#careerarc
11;3;#careerarc;#hiring
11;3;#nyc;#timessquare
11;3;#timessquare;#nyc
11;3;#nyc;#newyork
11;3;#newyork;#nyc
11;3;#nyc;@francescoyates
11;3;@francescoyates;#nyc
11;3;#nyc;#travel
11;3;#travel;#nyc
11;3;#nyc;#usa
11;3;#usa;#nyc
11;3;#timessquare;#newyork
11;3;#newyork;#timessquare
11;3;#timessquare;@francescoyates
11;3;@francescoyates;#timessquare
11;3;#timessquare;#travel
11;3;#travel;#timessquare
11;3;#timessquare;#usa
11;3;#usa;#timessquare
11;3;#newyork;@francescoyates
11;3;@francescoyates;#newyork
11;3;#newyork;#travel
11;3;#travel;#newyork
11;3;#newyork;#usa
11;3;#usa;#newyork
11;3;@francescoyates;#travel
11;3;#travel;@francescoyates
11;3;@francescoyates;#usa
11;3;#usa;@francescoyates
11;3;#travel;#usa
11;3;#usa;#travel
11;3;#marketing;#job
11;3;#job;#marketing
11;3;#marketing;#newyork
11;3;#newyork;#marketing
11;3;#marketing;#hiring
11;3;#hiring;#marketing
11;3;#marketing;#careerarc
11;3;#careerarc;#marketing
11;3;#job;#newyork
11;3;#newyork;#job
11;3;#job;#hiring
11;3;#hiring;#job
11;3;#job;#careerarc
11;3;#careerarc;#job
11;3;#newyork;#hiring
11;3;#hiring;#newyork
11;3;#newyork;#careerarc
11;3;#careerarc;#newyork
11;3;#hiring;#careerarc
11;3;#careerarc;#hiring
11;2;@midnight;#badmoviemashups
11;2;#badmoviemashups;@midnight
11;4;@potus;@netanyahu
11;4;@netanyahu;@potus
11;4;@eseazenabor;#nyfw
11;4;#nyfw;@eseazenabor
11;2;#hiring;#it
11;2;#it;#hiring
11;2;#hiring;#newyork
11;2;#newyork;#hiring
11;2;#hiring;#job
11;2;#job;#hiring
11;2;#hiring;#jobs
11;2;#jobs;#hiring
11;2;#hiring;#careerarc
11;2;#careerarc;#hiring
11;2;#it;#newyork
11;2;#newyork;#it
11;2;#it;#job
11;2;#job;#it
11;2;#it;#jobs
11;2;#jobs;#it
11;2;#it;#careerarc
11;2;#careerarc;#it
11;2;#newyork;#job
11;2;#job;#newyork
11;2;#newyork;#jobs
11;2;#jobs;#newyork
11;2;#newyork;#careerarc
11;2;#careerarc;#newyork
11;2;#job;#jobs
11;2;#jobs;#job
11;2;#job;#careerarc
11;2;#careerarc;#job
11;2;#jobs;#careerarc
11;2;#careerarc;#jobs
11;2;#hiring;#newyork
11;2;#newyork;#hiring
11;2;#hiring;#job
11;2;#job;#hiring
11;2;#hiring;#jobs
11;2;#jobs;#hiring
11;2;#hiring;#careerarc
11;2;#careerarc;#hiring
11;2;#newyork;#job
11;2;#job;#newyork
11;2;#newyork;#jobs
11;2;#jobs;#newyork
11;2;#newyork;#careerarc
11;2;#careerarc;#newyork
11;2;#job;#jobs
11;2;#jobs;#job
11;2;#job;#careerarc
11;2;#careerarc;#job
11;2;#jobs;#careerarc
11;2;#careerarc;#jobs
11;3;#giveaway;#bookboost
11;3;#bookboost;#giveaway
11;3;#giveaway;#winewednesday
11;3;#winewednesday;#giveaway
11;3;#bookboost;#winewednesday
11;3;#winewednesday;#bookboost
11;3;@igmpj;@nobfhere
11;3;@nobfhere;@igmpj
11;3;@igmpj;@ehorstman36
11;3;@ehorstman36;@igmpj
11;3;@igmpj;@george
11;3;@george;@igmpj
11;3;@igmpj;@salgualano
11;3;@salgualano;@igmpj
11;3;@igmpj;@chengweiming
11;3;@chengweiming;@igmpj
11;3;@igmpj;@michaelseymourx
11;3;@michaelseymourx;@igmpj
11;3;@nobfhere;@ehorstman36
11;3;@ehorstman36;@nobfhere
11;3;@nobfhere;@george
11;3;@george;@nobfhere
11;3;@nobfhere;@salgualano
11;3;@salgualano;@nobfhere
11;3;@nobfhere;@chengweiming
11;3;@chengweiming;@nobfhere
11;3;@nobfhere;@michaelseymourx
11;3;@michaelseymourx;@nobfhere
11;3;@ehorstman36;@george
11;3;@george;@ehorstman36
11;3;@ehorstman36;@salgualano
11;3;@salgualano;@ehorstman36
11;3;@ehorstman36;@chengweiming
11;3;@chengweiming;@ehorstman36
11;3;@ehorstman36;@michaelseymourx
11;3;@michaelseymourx;@ehorstman36
11;3;@george;@salgualano
11;3;@salgualano;@george
11;3;@george;@chengweiming
11;3;@chengweiming;@george
11;3;@george;@michaelseymourx
11;3;@michaelseymourx;@george
11;3;@salgualano;@chengweiming
11;3;@chengweiming;@salgualano
11;3;@salgualano;@michaelseymourx
11;3;@michaelseymourx;@salgualano
11;3;@chengweiming;@michaelseymourx
11;3;@michaelseymourx;@chengweiming
11;2;#art;#job
11;2;#job;#art
11;2;#art;#admin
11;2;#admin;#art
11;2;#art;#newyork
11;2;#newyork;#art
11;2;#art;#hiring
11;2;#hiring;#art
11;2;#art;#careerarc
11;2;#careerarc;#art
11;2;#job;#admin
11;2;#admin;#job
11;2;#job;#newyork
11;2;#newyork;#job
11;2;#job;#hiring
11;2;#hiring;#job
11;2;#job;#careerarc
11;2;#careerarc;#job
11;2;#admin;#newyork
11;2;#newyork;#admin
11;2;#admin;#hiring
11;2;#hiring;#admin
11;2;#admin;#careerarc
11;2;#careerarc;#admin
11;2;#newyork;#hiring
11;2;#hiring;#newyork
11;2;#newyork;#careerarc
11;2;#careerarc;#newyork
11;2;#hiring;#careerarc
11;2;#careerarc;#hiring
11;3;#newyork;#manhattan
11;3;#manhattan;#newyork
11;3;#newyork;#usa
11;3;#usa;#newyork
11;3;#manhattan;#usa
11;3;#usa;#manhattan
11;2;@theweeknd;@kendricklamar
11;2;@kendricklamar;@theweeknd
11;2;@nerouk;#newmusic
11;2;#newmusic;@nerouk
11;2;#ny;#oriental
11;2;#oriental;#ny
11;4;#nyfw;#michaelkors
11;4;#michaelkors;#nyfw
11;5;#thebronx;#traffic
11;5;#traffic;#thebronx
11;3;#newyork;#internship
11;3;#internship;#newyork
11;3;#newyork;#job
11;3;#job;#newyork
11;3;#newyork;#jobs
11;3;#jobs;#newyork
11;3;#newyork;#hiring
11;3;#hiring;#newyork
11;3;#newyork;#careerarc
11;3;#careerarc;#newyork
11;3;#internship;#job
11;3;#job;#internship
11;3;#internship;#jobs
11;3;#jobs;#internship
11;3;#internship;#hiring
11;3;#hiring;#internship
11;3;#internship;#careerarc
11;3;#careerarc;#internship
11;3;#job;#jobs
11;3;#jobs;#job
11;3;#job;#hiring
11;3;#hiring;#job
11;3;#job;#careerarc
11;3;#careerarc;#job
11;3;#jobs;#hiring
11;3;#hiring;#jobs
11;3;#jobs;#careerarc
11;3;#careerarc;#jobs
11;3;#hiring;#careerarc
11;3;#careerarc;#hiring
11;5;#nyc;#traffic
11;5;#traffic;#nyc
11;3;#corona;#retail
11;3;#retail;#corona
11;3;#corona;#job
11;3;#job;#corona
11;3;#corona;#jobs
11;3;#jobs;#corona
11;3;#corona;#hiring
11;3;#hiring;#corona
11;3;#corona;#careerarc
11;3;#careerarc;#corona
11;3;#retail;#job
11;3;#job;#retail
11;3;#retail;#jobs
11;3;#jobs;#retail
11;3;#retail;#hiring
11;3;#hiring;#retail
11;3;#retail;#careerarc
11;3;#careerarc;#retail
