followers_count,friends_count,tweets_count,44.391643516091975,44.391643516091975
N,N,N,44.315988,44.315988
2,2,2,44.29844994776969,44.29844994776969
2,2,2,44.351118152120485,44.351118152120485
2,2,2,44.889424527442685,44.889424527442685
2,2,2,43.46084400349923,43.46084400349923
2,2,2,44.64680010013528,44.64680010013528
2,2,2,44.40446080879215,44.40446080879215
2,2,2,44.18593375168617,44.18593375168617
2,2,2,44.09051846584001,44.09051846584001
2,2,2,44.66376251969314,44.66376251969314
2,2,2,44.6240449587762,44.6240449587762
2,2,2,45.00138334367271,45.00138334367271
2,2,2,44.55033831045195,44.55033831045195
2,2,2,44.74421652327631,44.74421652327631
2,2,2,43.79401723931746,43.79401723931746
2,2,2,43.67351687345779,43.67351687345779
2,2,2,43.87692500855015,43.87692500855015
2,2,2,44.28189405244278,44.28189405244278
2,2,2,43.94916218711252,43.94916218711252
2,2,2,44.61479884874806,44.61479884874806
2,2,2,44.92223011339065,44.92223011339065
3,2,3,44.20117807597118,44.20117807597118
3,2,3,43.547714841247966,43.547714841247966
3,2,3,43.92116991202797,43.92116991202797
3,2,3,44.56587414638437,44.56587414638437
3,2,3,44.10230727065641,44.10230727065641
3,2,3,45.25416535851712,45.25416535851712
3,2,3,44.91647619491961,44.91647619491961
3,2,3,45.03473433359779,45.03473433359779
3,2,3,45.16855171992733,45.16855171992733
3,2,3,44.553669079256146,44.553669079256146
3,2,3,43.32871087231798,43.32871087231798
3,2,3,43.40444516345915,43.40444516345915
3,2,3,43.9435337313432,43.9435337313432
3,2,3,44.74549949495889,44.74549949495889
3,2,3,44.34901730307382,44.34901730307382
3,2,3,43.53125851464172,43.53125851464172
3,2,3,44.155575603194634,44.155575603194634
3,2,3,44.315988,44.315988
3,2,3,44.29844994776969,44.29844994776969
3,2,3,44.351118152120485,44.351118152120485
3,2,3,44.889424527442685,44.889424527442685
3,2,3,43.46084400349923,43.46084400349923
3,2,3,44.64680010013528,44.64680010013528
3,2,3,44.40446080879215,44.40446080879215
3,2,3,44.18593375168617,44.18593375168617
3,2,3,44.09051846584001,44.09051846584001
3,2,3,44.66376251969314,44.66376251969314
3,2,3,44.6240449587762,44.6240449587762
3,2,3,45.00138334367271,45.00138334367271
3,2,3,44.55033831045195,44.55033831045195
2,2,3,44.74421652327631,44.74421652327631
2,2,3,43.79401723931746,43.79401723931746
2,2,3,43.67351687345779,43.67351687345779
2,2,3,43.87692500855015,43.87692500855015
2,2,3,44.28189405244278,44.28189405244278
2,2,3,43.94916218711252,43.94916218711252
2,2,3,44.61479884874806,44.61479884874806
2,2,3,44.92223011339065,44.92223011339065
2,2,3,44.20117807597118,44.20117807597118
2,2,3,43.547714841247966,43.547714841247966
2,2,3,43.92116991202797,43.92116991202797
2,2,3,44.56587414638437,44.56587414638437
4,4,4,44.10230727065641,44.10230727065641
4,4,4,45.25416535851712,45.25416535851712
4,4,4,44.91647619491961,44.91647619491961
4,4,4,45.03473433359779,45.03473433359779
4,4,4,45.16855171992733,45.16855171992733
4,4,4,44.553669079256146,44.553669079256146
4,4,4,43.32871087231798,43.32871087231798
4,4,4,43.40444516345915,43.40444516345915
4,4,4,43.9435337313432,43.9435337313432
4,4,4,44.74549949495889,44.74549949495889
4,4,4,44.34901730307382,44.34901730307382
4,4,4,43.53125851464172,43.53125851464172
4,4,4,44.155575603194634,44.155575603194634
4,4,4,44.315988,44.315988
4,4,4,44.29844994776969,44.29844994776969
4,4,4,44.351118152120485,44.351118152120485
4,4,4,44.889424527442685,44.889424527442685
4,4,4,43.46084400349923,43.46084400349923
4,4,4,44.64680010013528,44.64680010013528
4,4,4,44.40446080879215,44.40446080879215
1,1,4,44.18593375168617,44.18593375168617
1,1,4,44.09051846584001,44.09051846584001
1,1,4,44.66376251969314,44.66376251969314
1,1,4,44.6240449587762,44.6240449587762
1,1,4,45.00138334367271,45.00138334367271
1,1,4,44.55033831045195,44.55033831045195
2,2,2,44.74421652327631,44.74421652327631
2,2,2,43.79401723931746,43.79401723931746
2,2,2,43.67351687345779,43.67351687345779
2,2,2,43.87692500855015,43.87692500855015
2,2,2,44.28189405244278,44.28189405244278
2,2,2,43.94916218711252,43.94916218711252
1,2,2,44.61479884874806,44.61479884874806
1,2,2,44.92223011339065,44.92223011339065
3,2,3,44.20117807597118,44.20117807597118
3,2,3,43.547714841247966,43.547714841247966
2,2,4,43.92116991202797,43.92116991202797
2,2,4,44.56587414638437,44.56587414638437
2,2,4,44.10230727065641,44.10230727065641
2,2,4,45.25416535851712,45.25416535851712
2,2,4,44.91647619491961,44.91647619491961
2,2,4,45.03473433359779,45.03473433359779
3,3,3,45.16855171992733,45.16855171992733
3,3,3,44.553669079256146,44.553669079256146
3,3,3,43.32871087231798,43.32871087231798
3,3,3,43.40444516345915,43.40444516345915
3,3,3,43.9435337313432,43.9435337313432
3,3,3,44.74549949495889,44.74549949495889
3,1,2,44.34901730307382,44.34901730307382
3,1,2,43.53125851464172,43.53125851464172
3,1,2,44.155575603194634,44.155575603194634
3,1,2,44.315988,44.315988
3,1,2,44.29844994776969,44.29844994776969
3,1,2,44.351118152120485,44.351118152120485
2,2,3,44.889424527442685,44.889424527442685
2,2,3,43.46084400349923,43.46084400349923
3,2,3,44.64680010013528,44.64680010013528
3,2,3,44.40446080879215,44.40446080879215
2,3,4,44.18593375168617,44.18593375168617
2,3,4,44.09051846584001,44.09051846584001
2,3,4,44.66376251969314,44.66376251969314
2,3,4,44.6240449587762,44.6240449587762
2,3,4,45.00138334367271,45.00138334367271
2,3,4,44.55033831045195,44.55033831045195
3,1,2,44.74421652327631,44.74421652327631
3,1,2,43.79401723931746,43.79401723931746
3,1,2,43.67351687345779,43.67351687345779
3,1,2,43.87692500855015,43.87692500855015
3,1,2,44.28189405244278,44.28189405244278
3,1,2,43.94916218711252,43.94916218711252
3,1,2,44.61479884874806,44.61479884874806
3,1,2,44.92223011339065,44.92223011339065
3,1,2,44.20117807597118,44.20117807597118
3,1,2,43.547714841247966,43.547714841247966
3,1,2,43.92116991202797,43.92116991202797
3,1,2,44.56587414638437,44.56587414638437
2,2,3,44.10230727065641,44.10230727065641
2,2,3,45.25416535851712,45.25416535851712
2,2,3,44.91647619491961,44.91647619491961
2,2,3,45.03473433359779,45.03473433359779
2,2,3,45.16855171992733,45.16855171992733
2,2,3,44.553669079256146,44.553669079256146
2,2,3,43.32871087231798,43.32871087231798
2,2,3,43.40444516345915,43.40444516345915
2,2,3,43.9435337313432,43.9435337313432
2,2,3,44.74549949495889,44.74549949495889
2,2,3,44.34901730307382,44.34901730307382
2,2,3,43.53125851464172,43.53125851464172
2,2,3,44.155575603194634,44.155575603194634
2,2,3,44.315988,44.315988
2,2,3,44.29844994776969,44.29844994776969
2,2,3,44.351118152120485,44.351118152120485
2,2,3,44.889424527442685,44.889424527442685
2,2,3,43.46084400349923,43.46084400349923
2,2,3,44.64680010013528,44.64680010013528
2,2,3,44.40446080879215,44.40446080879215
2,2,3,44.18593375168617,44.18593375168617
2,2,3,44.09051846584001,44.09051846584001
2,2,2,44.66376251969314,44.66376251969314
2,2,2,44.6240449587762,44.6240449587762
2,2,2,45.00138334367271,45.00138334367271
2,2,2,44.55033831045195,44.55033831045195
2,2,2,44.74421652327631,44.74421652327631
2,2,2,43.79401723931746,43.79401723931746
2,2,2,43.67351687345779,43.67351687345779
2,2,2,43.87692500855015,43.87692500855015
2,2,2,44.28189405244278,44.28189405244278
2,2,2,43.94916218711252,43.94916218711252
2,2,2,44.61479884874806,44.61479884874806
2,2,2,44.92223011339065,44.92223011339065
2,2,2,44.20117807597118,44.20117807597118
2,2,2,43.547714841247966,43.547714841247966
2,2,2,43.92116991202797,43.92116991202797
2,2,2,44.56587414638437,44.56587414638437
2,2,2,44.10230727065641,44.10230727065641
2,2,2,45.25416535851712,45.25416535851712
2,2,2,44.91647619491961,44.91647619491961
2,2,2,45.03473433359779,45.03473433359779
2,2,2,45.16855171992733,45.16855171992733
2,2,2,44.553669079256146,44.553669079256146
2,2,2,43.32871087231798,43.32871087231798
2,2,2,43.40444516345915,43.40444516345915
2,2,2,43.9435337313432,43.9435337313432
2,2,2,44.74549949495889,44.74549949495889
2,2,2,44.34901730307382,44.34901730307382
2,2,2,43.53125851464172,43.53125851464172
2,2,2,44.155575603194634,44.155575603194634
2,2,2,44.315988,44.315988
2,2,2,44.29844994776969,44.29844994776969
2,2,2,44.351118152120485,44.351118152120485
2,2,2,44.889424527442685,44.889424527442685
2,2,2,43.46084400349923,43.46084400349923
2,2,2,44.64680010013528,44.64680010013528
2,2,2,44.40446080879215,44.40446080879215
2,2,2,44.18593375168617,44.18593375168617
2,2,2,44.09051846584001,44.09051846584001
2,2,2,44.66376251969314,44.66376251969314
2,2,2,44.6240449587762,44.6240449587762
3,3,3,45.00138334367271,45.00138334367271
3,3,3,44.55033831045195,44.55033831045195
3,3,3,44.74421652327631,44.74421652327631
3,3,3,43.79401723931746,43.79401723931746
3,3,3,43.67351687345779,43.67351687345779
3,3,3,43.87692500855015,43.87692500855015
2,2,3,44.28189405244278,44.28189405244278
2,2,3,43.94916218711252,43.94916218711252
2,2,3,44.61479884874806,44.61479884874806
2,2,3,44.92223011339065,44.92223011339065
2,2,3,44.20117807597118,44.20117807597118
2,2,3,43.547714841247966,43.547714841247966
2,1,3,43.92116991202797,43.92116991202797
2,1,3,44.56587414638437,44.56587414638437
2,1,3,44.10230727065641,44.10230727065641
2,1,3,45.25416535851712,45.25416535851712
2,1,3,44.91647619491961,44.91647619491961
2,1,3,45.03473433359779,45.03473433359779
2,1,3,45.16855171992733,45.16855171992733
2,1,3,44.553669079256146,44.553669079256146
2,1,3,43.32871087231798,43.32871087231798
2,1,3,43.40444516345915,43.40444516345915
2,1,3,43.9435337313432,43.9435337313432
2,1,3,44.74549949495889,44.74549949495889
2,1,3,44.34901730307382,44.34901730307382
2,1,3,43.53125851464172,43.53125851464172
2,1,3,44.155575603194634,44.155575603194634
2,1,3,44.315988,44.315988
2,1,3,44.29844994776969,44.29844994776969
2,1,3,44.351118152120485,44.351118152120485
2,1,3,44.889424527442685,44.889424527442685
2,1,3,43.46084400349923,43.46084400349923
2,2,3,44.64680010013528,44.64680010013528
2,2,3,44.40446080879215,44.40446080879215
2,2,3,44.18593375168617,44.18593375168617
2,2,3,44.09051846584001,44.09051846584001
2,2,3,44.66376251969314,44.66376251969314
2,2,3,44.6240449587762,44.6240449587762
2,2,3,45.00138334367271,45.00138334367271
2,2,3,44.55033831045195,44.55033831045195
2,2,3,44.74421652327631,44.74421652327631
2,2,3,43.79401723931746,43.79401723931746
2,2,3,43.67351687345779,43.67351687345779
2,2,3,43.87692500855015,43.87692500855015
2,2,3,44.28189405244278,44.28189405244278
2,2,3,43.94916218711252,43.94916218711252
2,2,3,44.61479884874806,44.61479884874806
2,2,3,44.92223011339065,44.92223011339065
2,2,3,44.20117807597118,44.20117807597118
2,2,3,43.547714841247966,43.547714841247966
2,2,3,43.92116991202797,43.92116991202797
2,2,3,44.56587414638437,44.56587414638437
2,2,3,44.10230727065641,44.10230727065641
2,2,3,45.25416535851712,45.25416535851712
2,2,3,44.91647619491961,44.91647619491961
2,2,3,45.03473433359779,45.03473433359779
2,2,3,45.16855171992733,45.16855171992733
2,2,3,44.553669079256146,44.553669079256146
2,2,3,43.32871087231798,43.32871087231798
2,2,3,43.40444516345915,43.40444516345915
2,2,3,43.9435337313432,43.9435337313432
2,2,3,44.74549949495889,44.74549949495889
3,2,3,44.34901730307382,44.34901730307382
3,2,3,43.53125851464172,43.53125851464172
3,2,3,44.155575603194634,44.155575603194634
3,2,3,44.315988,44.315988
3,2,3,44.29844994776969,44.29844994776969
3,2,3,44.351118152120485,44.351118152120485
3,2,3,44.889424527442685,44.889424527442685
3,2,3,43.46084400349923,43.46084400349923
3,2,3,44.64680010013528,44.64680010013528
3,2,3,44.40446080879215,44.40446080879215
3,2,3,44.18593375168617,44.18593375168617
3,2,3,44.09051846584001,44.09051846584001
3,2,3,44.66376251969314,44.66376251969314
3,2,3,44.6240449587762,44.6240449587762
3,2,3,45.00138334367271,45.00138334367271
3,2,3,44.55033831045195,44.55033831045195
3,2,3,44.74421652327631,44.74421652327631
3,2,3,43.79401723931746,43.79401723931746
3,2,3,43.67351687345779,43.67351687345779
3,2,3,43.87692500855015,43.87692500855015
1,2,2,44.28189405244278,44.28189405244278
1,2,2,43.94916218711252,43.94916218711252
2,2,4,44.61479884874806,44.61479884874806
2,2,4,44.92223011339065,44.92223011339065
2,2,4,44.20117807597118,44.20117807597118
2,2,4,43.547714841247966,43.547714841247966
